2025-09-03 00:00:14.799 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:14.883 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:14.883 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:15.938 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:15.938 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:16.003 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:16.003 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:16.843 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:16.843 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:17.206 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:17.207 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:17.797 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:17.797 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:18.210 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:18.210 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:18.930 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:18.930 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:19.113 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:19.113 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:19.834 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:19.834 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:20.016 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:20.016 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:20.919 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:20.919 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:20.989 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:20.989 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:21.843 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:21.843 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:21.922 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:21.922 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:23.026 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:23.026 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:23.048 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:23.049 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:24.029 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:24.029 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:24.231 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:24.231 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:25.233 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:25.234 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:25.285 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:25.285 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:26.237 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:26.237 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:26.289 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:26.289 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:27.140 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:27.140 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:27.444 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:27.444 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:28.344 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:28.344 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:28.478 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:28.478 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:29.548 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:29.548 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:29.634 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:29.634 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:30.538 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:30.538 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:30.551 [kafka-admin-client-thread | adminclient-1] INFO  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Node 1 disconnected.
2025-09-03 00:00:30.551 [kafka-admin-client-thread | adminclient-1] WARN  o.apache.kafka.clients.NetworkClient - [AdminClient clientId=adminclient-1] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
2025-09-03 00:00:31.543 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Node 1 disconnected.
2025-09-03 00:00:31.543 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-configGroup-1, groupId=configGroup] Connection to node 1 (localhost/127.0.0.1:9092) could not be established. Broker may not be available.
